,quantity_lsr_cqi,quantity_lsr_rsrp,quantity_lsr_rsrq,quantity_lsr_pusch_sinr,quantity_lsr_uplink_interference,customer_download_throughput_binned,quantity_lsr_ta_binned,Facebook,IP_OTHER,Youtube,Facebook Video,Whatsapp
7414,6.0,-102.0,-12.5,7.6,-113.25,1,0,0,0,1,0,0
7415,9.0,-80.0,-11.5,14.4,-113.74,1,0,0,0,0,1,0
7416,6.332999999999999,-102.0,-18.0,12.5,-114.767,0,0,0,0,0,0,0
7417,5.0,-82.0,-16.5,16.6,-116.25,1,0,0,1,0,0,0
7418,13.0,-93.0,-11.5,9.1,-116.25,0,0,0,0,0,0,0
7419,15.0,-77.0,-11.25,13.1,-114.435,0,0,0,0,0,0,0
7420,8.133,-96.917,-14.708,10.792,-111.748,1,0,0,0,0,0,0
7421,7.667000000000001,-98.5,-13.0,16.8,-116.437,0,0,0,0,1,0,0
7422,9.563,-96.667,-11.834,14.925,-118.591,0,0,0,0,0,0,1
7423,12.0,-89.0,-11.0,15.9,-113.88,0,0,0,0,0,0,1
7424,10.584,-99.167,-11.5,13.784,-113.87,1,0,0,0,1,0,0
7425,6.867000000000001,-103.6,-15.467,9.333,-113.547,1,0,0,0,1,0,0
7426,14.0,-100.0,-11.5,-3.6,-108.41,1,0,1,0,0,0,0
7427,12.0,-110.0,-10.5,5.8,-115.97,0,0,0,0,0,0,0
7428,15.0,-110.0,-12.5,6.6,-118.82,1,0,1,0,0,0,0
7429,10.0,-95.0,-12.25,12.333,-116.047,1,0,0,0,0,0,0
7430,11.0,-93.0,-11.5,16.2,-116.57,0,0,0,0,0,0,0
7431,11.5,-90.0,-8.5,3.65,-115.375,0,0,0,0,1,0,0
7432,5.222,-108.0,-16.389,11.0,-115.125,0,0,0,0,0,0,0
7433,7.0,-107.0,-9.5,7.0,-112.07,0,0,0,0,1,0,0
7434,11.072,-103.334,-13.0,13.2,-116.431,0,0,0,0,0,0,0
7435,8.0,-97.0,-13.5,6.7,-112.12,1,0,0,0,0,0,0
7436,5.428999999999999,-105.667,-15.095,11.657,-113.705,1,0,0,0,0,0,0
7437,7.0,-101.0,-15.5,12.0,-113.08,1,0,0,0,0,0,0
7438,11.0,-112.5,-10.0,9.5,-120.05,0,0,0,0,0,0,0
7439,11.0,-112.5,-10.0,9.5,-120.05,0,0,0,0,0,0,0
7440,6.167000000000001,-121.583,-15.708,1.092,-117.375,1,0,0,0,0,0,0
7441,7.0,-118.0,-12.0,-3.667,-118.8,1,0,0,0,0,0,0
7442,10.5,-96.0,-9.5,9.217,-117.429,0,0,0,0,0,1,0
7443,9.5,-92.5,-11.75,12.8,-115.5,1,0,0,0,1,0,0
7444,11.75,-99.25,-11.75,11.475,-113.05,0,0,0,0,0,0,0
7445,4.0,-109.0,-11.5,11.2,-119.07,1,0,0,0,0,0,0
7446,5.0,-107.5,-14.25,18.25,-118.48,0,0,1,0,0,0,0
7447,2.833,-100.083,-18.583,6.244,-114.97,0,0,0,0,0,0,0
7448,11.0,-110.0,-11.5,14.0,-116.55,0,0,0,0,1,0,0
7449,9.0,-107.0,-16.5,9.6,-113.47,1,0,0,0,1,0,0
7450,15.0,-98.0,-7.5,13.7,-115.17,0,0,0,0,0,0,0
7451,11.0,-73.0,-14.5,20.6,-115.3,1,0,0,0,0,0,0
7452,8.222000000000001,-122.778,-15.222,-5.1,-119.422,0,0,0,0,0,0,0
7453,12.8,-105.0,-12.25,14.8,-117.696,0,0,0,0,0,0,1
7454,7.222,-88.556,-17.5,11.867,-112.087,1,0,0,0,0,0,1
7455,8.0,-114.0,-13.0,-0.4,-119.3,1,1,0,0,1,0,0
7456,11.0,-111.0,-13.5,5.8,-113.42,0,0,0,0,0,0,1
7457,14.0,-100.0,-6.5,14.4,-117.12,1,0,0,0,1,0,0
7458,14.167,-63.834,-6.667000000000001,-0.4,-114.999,0,0,0,0,0,0,0
7459,13.0,-112.0,-10.0,11.5,-117.95,1,0,0,0,0,0,0
7460,10.667,-99.333,-12.667,14.2,-115.81,0,0,1,0,0,0,0
7461,13.0,-103.0,-14.5,8.2,-115.14,0,0,0,0,0,0,1
7462,13.0,-103.0,-14.0,-5.6,-118.07,0,0,0,0,1,0,0
7463,10.5,-104.0,-12.0,6.2,-115.47,1,0,0,0,1,0,0
7464,8.133,-97.0,-11.5,9.147,-112.787,0,0,0,0,0,0,1
7465,11.0,-99.0,-10.25,15.6,-118.623,0,0,0,0,0,0,1
7466,10.0,-113.0,-17.25,4.85,-112.275,0,1,0,0,0,0,0
7467,7.713999999999999,-99.762,-15.69,12.383,-115.622,0,0,0,0,1,0,0
7468,12.333,-95.0,-11.75,15.583,-116.71,0,0,0,0,0,0,0
7469,9.0,-108.0,-15.0,10.6,-115.57,1,0,0,0,0,0,0
7470,8.6,-103.75,-12.125,14.8,-116.836,0,0,0,0,0,0,0
7471,11.333,-101.0,-9.0,15.267,-117.953,1,0,0,0,0,0,0
7472,7.095,-112.584,-17.375,8.967,-112.642,0,0,0,0,1,0,0
7473,8.889,-95.0,-9.167,10.333,-112.34,1,0,0,0,1,0,0
7474,2.0,-102.0,-14.5,8.7,-109.68,1,0,0,0,1,0,0
7475,15.0,-121.0,-15.5,19.1,-119.9,0,0,0,0,0,0,0
7476,10.5,-106.0,-11.5,10.2,-112.28,0,0,1,0,0,0,0
7477,10.833,-101.833,-12.333,8.433,-110.347,0,0,0,0,1,0,0
7478,8.6,-84.083,-12.458,10.008,-110.99,0,0,0,0,0,1,0
7479,10.0,-104.0,-11.5,5.9,-111.02,1,0,0,0,0,0,0
7480,15.0,-78.0,-9.5,15.633,-118.017,0,0,0,0,1,0,0
7481,9.0,-92.0,-12.5,13.9,-113.78,0,0,0,0,0,0,0
7482,12.6,-84.8,-8.5,11.2,-112.58,0,0,1,0,0,0,0
7483,6.0,-111.0,-12.0,14.0,-118.02,0,0,0,0,0,0,1
7484,8.0,-90.333,-15.417,11.75,-111.923,0,0,0,0,0,0,0
7485,13.333,-106.0,-10.5,8.833,-111.14,0,0,0,0,0,1,0
7486,10.0,-108.0,-11.5,11.2,-115.17,1,0,0,0,0,0,0
7487,8.0,-96.0,-12.5,12.9,-115.17,0,0,0,0,1,0,0
7488,9.533,-102.333,-11.2,13.067,-116.559,0,1,0,0,0,1,0
7489,11.0,-98.0,-9.5,-0.9,-118.05,0,0,0,0,0,0,0
